CASE,QUESTNNR,STARTED,AA03,AA04,AA07_01,CC01_01,CC01_02,CC01_03,CC03_01,DD01,DD08_01,DD09_01,DD10_01,DD10_02,DD10_03,DD10_04,DD10_05,DD11_01,DD11_02,DD11_03,DD02_01,DD02_02,DD02_03,DD12_01,DD12_02,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01_CP,Zufallsgenerator,LL02_01,LL02_02,LL02_03,LL02_04,LL02_05,LL04_01,LL04_02,LL04_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME_SUM,LASTDATA,FINISHED,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
329,SE,3/3/2021 14:22,2,2,Oberschule zum Dom,,,,,2,"""Die Erde sei Flach""
""USA versteckt Aliens""
""ALiens sind unter uns""
""Mondlandung fake""
""Nasa faked alles""
""Menschen unter der Erdkruste""
""Corona ist eine Lüge""
","Sie ergeben oft keinen Sinn und sind einfach falsch.
",,3,2,1,,1,2,1,,3,3,2,,4,5,,2,16,3,2,,,,,,,,,89,40,45,71,22,110,33,57,467,3/3/2021 14:30,1,8,8,0,0,"1,24",17
331,SE,3/3/2021 14:22,2,2,Oberschule zum Dom,,,,,2,kenne keine,"keine Klare bestätigung der Ereignisse
",2,2,2,3,2,1,1,2,4,3,2,5,4,,2,,1,15,4,2,,,,,,,,,142,30,29,53,40,24,40,43,401,3/3/2021 14:29,1,8,8,0,0,"1,4",57
333,SE,3/3/2021 14:22,2,2,Oberschule zum Dom ,,,,,2,"- 11. September 
- Erde ist eine Scheibe ",Das man die nicht wirklich beweisen kann ,,3,2,3,,1,1,1,3,3,4,3,3,3,3,,1,15,5,2,,,,,,,,,124,26,37,68,17,73,27,73,445,3/3/2021 14:30,1,8,8,0,0,"1,42",31
346,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Die Rotschildfamilie - Eine Reiche Familie, die die Weltherrschaft übernehmen will

Pizza Gate - Stars wie z.B Barack Obama würden Kindern ein Hormon (Adrenochrom) aus dem Körper entnehmen und dann trinken. Es soll wohl ein satanistisches Ritual sein

Merkel ist Hitlers Tochter

 ",#NAME?,3,5,4,4,,2,4,3,5,4,3,5,5,3,4,2,1,18,9,2,,,,,,,,,136,63,49,72,13,218,105,73,729,3/5/2021 7:46,1,8,8,0,0,"0,85",4
350,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Reptiloide/Echsenmenschen- Politiker und Prominente sind eigentlich eine Art Echse und kontrollieren die Welt
- Die Pyramiden wurden von Aliens gebaut
Qanon- es gibt eine satanistische Elite, welche Kinder entführt und sie ermordet, um sich aus ihrem Blut einen Verjüngungstrank herzustellen. Zu den Verschwörern gehören z.B Obama und Clinton
Pizzagate- Die oben beschreibene Elite hat einen Kinderhandelsring zur Prostitution
-Die Nazis haben eine Station hinter dem Mond
Neuschwabenland- Die Nazis haben eine Geheimbasis in der Antarktis
- Hitler ist nie gestorben und lebt nun in Argentinien
","Es gibt immer ein ""gut"" und ""böse""
Es wird oft etwas beschrieben, was mit einer Elite oder der Weltherrschaft zutun hat
Es hat sich oft, eine Übermächtige Gruppe verschwört
Es werden oft Minderheiten behandelt",4,4,4,2,5,2,4,4,5,4,3,5,5,5,4,2,1,17,10,2,,,,,,,,,82,114,26,45,8,376,95,28,695,3/5/2021 7:47,1,8,8,0,0,"1,23",19
368,SE,3/5/2021 7:35,2,3,Detlefsengymnasium Glückstadt,,,,,2,"QAnon: Die Anhänger bezeichnen es als einen Weltrettungskult, der ihrer Meinung nach von Trump angeführt wird. Er heizt das ganze auch weiter an. Sie sind davon überzeugt, dass Trup derjenige ist, der die Menschheit retten wird. QAnon interpretiert zum Beispiel Gesten, Zahlenfolgen von irgendwelchen Prominenten oder Politikern.","Bei Verschwörungstheorien wird behauptet, dass es gut und böse, aber nichts dazwischen gibt. Sie wollen die Menschheit von etwas überreden. Manchmal auch Weltrettungskults.",2,,,3,,2,2,4,4,,,5,5,4,5,,1,17,16,2,,,,,,,,,173,40,45,69,13,329,129,60,858,3/5/2021 7:49,1,8,8,0,0,"0,84",4
375,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"- Q-Anon: eine angebliche ""Elite"" quäle Kinder und trinke deren Blut, um Jugend zu erlangen (Dieser Mythos ist vermutlich durch die Ritualmordlegende inspiriert.)
- Bill Gates wolle Kontrolle über die Weltbevölkerung erlangen, indem er durch Impfungen Chips in Menschen implantiert   ","- wissenschaftliche Fakten werden ignoriert
- überall werden Zusammenhänge erkannt
- es geht gegen eine bestimmte Person/Gruppe von Personen
- diejenigen, die an eine Verschwörungstheorie glauben, sind der Meinung, dass nur sie etwas wirklich verstanden haben und nun alle anderen aufklären müssen
- Widersprüche innerhalb eines Verschwörungsmythos' werden nicht bemerkt  ",2,4,3,4,3,3,3,3,5,4,4,4,4,4,4,2,1,17,19,2,,,,,,,,,92,38,31,41,30,283,338,33,648,3/5/2021 9:34,1,8,8,0,0,"0,94",6
376,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Ich weiß keine genauen Namen, aber mir fallen zwei Theorien zum aktuellen Thema ein:

-Impfungen enthalten Mikrochips, die unter der Haut eingesetzt werden und die Menschen überwachen sollen

-die Pandemie gibt es nicht, die Schließungen von Läden, Schulen, Freizeitbeschäftigung und die Kontaktbeschränkung, also die gesamten Lockdowns sind ein Test, um zu sehen, wie wir Menschen in einer ""wirklichen"" Pandemie handeln würden und wie weit wir gehen können


",#NAME?,3,2,,2,,1,2,1,4,,,2,3,4,,,1,17,20,2,,,,,,,,,170,51,44,104,31,382,159,59,1000,3/5/2021 9:36,1,8,8,0,0,"0,64",0
378,SE,3/5/2021 9:20,2,3,Detlefsengymnasium Glückstadt,,,,,2,"QAnon

ChemTrails

Ritualmordlegende: Juden würden in der Osterzeit Kinder töten und trinken deren Blut:

Illuminaten: Ist eigentlich ein Geheimbund, der aufklären wollte, doch die Menschen denken, dass sie die Weltherrschaft wollen

Bill Gates: Bill Gates würde die Menschen mit Impfstoff und Chips kontrollieren wollen -> Corona

Die Erde sei flach. ",#NAME?,3,4,3,2,3,2,2,2,4,3,3,4,5,5,5,3,1,17,21,2,,,,,,,,,101,76,81,102,48,499,145,93,1030,3/5/2021 9:39,1,8,8,0,0,"0,54",0
380,SE,3/5/2021 9:20,2,3,Detlefsengymnasium,,,,,2,"Die Verschwörungstheorien rund um Q-Anon. (Deep-State, etc.) Außerdem die ""Election fraud""- Theorie von Donald J. Trump.
Weitere Verschwörungstheorien rund um die Freimaurer. (oft jüdisch-masonische Verschwörungstheorien; P2-Loge, etc.)
Verschwörungstheorien, die in manchen New religious movements verbreitet werden. (Mankind United, etc.)
","Klare Unterteilung in Gut (Verschwörungstheoretiker) und Böse (Verschwörer).
Erklärungen für bestimmte Phänomene/Ereignisse/Gegebenheiten > ein Gefühl der Überlegenheit wird bei den Verschwörungstheoretikern ausgelöst, da sie die ""bösen"" Machenschaften ""entlarvt"" haben.
Es muss eine klar definierbare Gruppe geben, die schuldig ist (z.B. Demokraten, Freimaurer, Juden).
Geheimniskrämerei; die angeblichen Verschwörer arbeiten im Verborgenen, aber auch die Verschwörungstheoretiker legen nicht alles offen (z.B. die Identität von Q).
unterschiedliche Ereignisse hängen zusammen (z.B. JFKs Tod und die Mondlandung).
Verschwörungstheoretiker schotten sich teilweise oder vollkommen von der Außenwelt ab. Sie verbringen viel zeit in Chat-Gruppen oder informieren sich nur mit Hilfe von ihnen bekannten Medien, die ihre Meinung teilen.",4,4,3,1,2,2,4,3,5,3,3,5,5,4,,,-9,17,22,2,,,,,,,,,118,20,36,101,17,351,429,137,789,3/5/2021 9:40,1,8,8,4,4,"0,8",6
