CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
325,SE,OzD,3,2,2,2.333333333,1,2,2,1.666666667, ,3,4,4, ,1,16,2,44
326,SE,OzD,2,3,4,3,1,2,2,1.666666667,4,3,4,4, ,1,16,3,48
328,SE,OzD,4,4,4,4,2,4,2,2.666666667,5,5,5,5,3,2,15,3,47
329,SE,OzD, ,3,2,2.5,1,2,1,1.333333333,3,2,4,5, ,2,16,2,89
330,SE,OzD,5,5,5,5,1,1,2,1.333333333,3,3,3,3,3,2,16,3,54
331,SE,OzD,2,2,2,2,1,1,2,1.333333333,3,5, ,2, ,1,15,2,142
332,SE,OzD,5,5,5,5,1,4,3,2.666666667,4,2,4,5,3,2,16,1,
333,SE,OzD, ,3,2,2.5,1,1,1,1,3,3,3,3, ,1,15,2,124
334,SE,OzD,3,4,4,3.666666667,2,2,1,1.666666667,4,2,5,5, ,2,15,1,
335,SE,OzD,3,4,4,3.666666667,1,2,2,1.666666667,4,3,3,3, ,1,15,3,205
336,SE,OzD,4,4,4,4,1,4,3,2.666666667,2,4,4,4, ,1,16,3,163
337,SE,OzD,2,4, ,3,2,1,2,1.666666667,2,2,4,5, ,1,15,1,
340,SE,OzD,3,3,5,3.666666667,2,3,1,2,4,2,4,4,2,2,15,1,
345,SE,Detlefsengymnasium,4,4,4,4,2,4,2,2.666666667,4,4,5,5,2,1,17,3,130
346,SE,Detlefsengymnasium,3,5,4,4,2,4,3,3,4,5,3,4,2,1,18,2,136
348,SE,Detlefsengymnasium,3,4,4,3.666666667,3,4,3,3.333333333,5,4,5,5,2,1,17,1,
349,SE,Detlefsengymnasium,3,2,3,2.666666667,1,2,3,2,3,2,4,3, ,1,17,1,
350,SE,Detlefsengymnasium,4,4,4,4,2,4,4,3.333333333,4,5,5,4,2,1,17,2,82
352,SE,Detlefsengymnasium,4,3,2,3,1,2,3,2,4,4,4,4,3,1,17,1,
354,SE,Detlefsengymnasium,3,4,4,3.666666667,2,1,2,1.666666667,5,4,4,4,2,,18,2,59
355,SE,Detlefsengymnasium,4,4,4,4,1,2,2,1.666666667,2,2,4,3,3,2,16,1,
356,SE,Detlefsengymnasium,3,3,3,3,2,2,2,2,4,3,3,4, ,1,16,3,176
358,SE,Detlefsengymnasium,4,4,4,4,1,4,3,2.666666667,2,3,4,4, ,1,16,1,
360,SE,Detlefsengymnasium,3,5,5,4.333333333,2,4,2,2.666666667,4,5,4,5, ,1,17,3,83
362,SE,Detlefsengymnasium,3,4,4,3.666666667,2,2,2,2,5,4,5,5,3,2,18,1,
363,SE,Detlefsengymnasium,4,4,5,4.333333333,2,2,2,2,3,4,4,5, ,1,16,2,52
364,SE,Detlefsengymnasium,2,4,4,3.333333333,4,4,3,3.666666667,4,4,5,5, ,1,17,3,140
365,SE,Detlefsengymnasium,2,2,3,2.333333333,3,2,2,2.333333333,4,4,4,4,3,1,17,1,
368,SE,Detlefsengymnasium,2, , ,2,2,2,4,2.666666667, ,5,4,5, ,1,17,2,173
374,SE,Detlefsengymnasium,4,4,4,4,2,3,2,2.333333333,5,5,4,5,3,1,17,3,93
375,SE,Detlefsengymnasium,2,4,3,3,3,3,3,3,4,4,4,4,2,1,17,2,92
376,SE,Detlefsengymnasium,3,2, ,2.5,1,2,1,1.333333333, ,2,4, , ,1,17,2,170
377,SE,Detlefsengymnasium,2,3,2,2.333333333,2,2,1,1.666666667,4,3,4,4,2,1,17,3,95
378,SE,Detlefsengymnasium,3,4,3,3.333333333,2,2,2,2,3,4,5,5,3,1,17,2,101
379,SE,Detlefsengymnasium,3,4,3,3.333333333,2,2,2,2,4,4,4,3,3,2,17,3,117
380,SE,Detlefsengymnasium,4,4,3,3.666666667,2,4,3,3,3,5,4, , ,-9,17,2,118
381,SE,Detlefsengymnasium,2,3,3,2.666666667,2,2,3,2.333333333,3,3,4,4,3,1,17,3,170
384,SE,Detlefsengymnasium,3,3,2,2.666666667,1,2,2,1.666666667,4,4,4,5, ,1,17,3,249
385,SE,Detlefsengymnasium,2,4,3,3,3,2,3,2.666666667,4,4,4,4, ,1,16,2,116
386,SE,Detlefsengymnasium,2,4,4,3.333333333,1,2,2,1.666666667,3,4,4,4,4,1,17,2,138
387,SE,Detlefsengymnasium,1,3,3,2.333333333,1,2,1,1.333333333,4,3,3,2,2,1,15,3,158
388,SE,Detlefsengymnasium,3,4,3,3.333333333,3,4,3,3.333333333,4,4,4,4,2,1,17,2,108
389,SE,Detlefsengymnasium,1,4,3,2.666666667,1,2,2,1.666666667,4,4,4,4,2,1,17,3,128
390,SE,Detlefsengymnasium,1,4,4,3,2,4,4,3.333333333,4,4,4,4,4,1,16,3,115
392,SE,Detlefsengymnasium,4,4,3,3.666666667,3,3,2,2.666666667,3,4,5,4,3,1,17,3,164
394,SE,Detlefsengymnasium,2,5,4,3.666666667,1,4,1,2,2,5,4,2, ,2,18,3,144
407,SE,FSG,2,4,4,3.333333333,1,2,1,1.333333333,2,3,4,4,3,1,17,2,75
409,SE,OzD,2, ,3,2.5,1, ,2,1.5, ,3,4, , ,1,16,2,170
410,SE,OzD,1,5,5,3.666666667,2,3,3,2.666666667,4,3,5,4,3,2,16,3,166
412,SE,OzD,2,4, ,3,1,2,2,1.666666667,4,3, ,4, ,1,16,2,144
414,SE,OzD,2,4,4,3.333333333,2,2,3,2.333333333, ,4,5,5, ,1,16,3,205
415,SE,OzD,3, , ,3,1,1,1,1,4,3,4,4,2,1,15,2,78
416,SE,OzD,2,2,2,2,1,2,2,1.666666667,2,3,4,4,3,1,15,3,152
417,SE,OzD,3,3, ,3,1,2,1,1.333333333, ,4, ,5, ,1,15,2,132
419,SE,OzD, ,4,3,3.5,2,2,3,2.333333333, ,3,3,4, ,2,16,3,213
421,SE,OzD,4, , ,4,1,1,1,1,4,3,4,4,2,1,16,2,74
423,SE,OzD,2, , ,2,1, ,2,1.5, ,3,4, , ,1,15,3,316
425,SE,OzD,2,2,2,2,2,3,3,2.666666667,3,4,4,4, ,1,15,2,86
427,SE,OzD,2,3,3,2.666666667,1,2,2,1.666666667,3,3,4,4,2,1,16,2,69
434,SE,CJB,5,5,5,5,2,4,2,2.666666667,4,3,5,5,2,1,16,2,531
