CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
326,SE,OzD,2,3,4,3,1,2,2,1.666666667,4,3,4,4, ,1,16,1,48
328,SE,OzD,4,4,4,4,2,4,2,2.666666667,5,5,5,5,3,2,15,1,47
330,SE,OzD,5,5,5,5,1,1,2,1.333333333,3,3,3,3,3,2,16,1,54
332,SE,OzD,5,5,5,5,1,4,3,2.666666667,4,2,4,5,3,2,16,0,
334,SE,OzD,3,4,4,3.666666667,2,2,1,1.666666667,4,2,5,5, ,2,15,0,
335,SE,OzD,3,4,4,3.666666667,1,2,2,1.666666667,4,3,3,3, ,1,15,1,205
336,SE,OzD,4,4,4,4,1,4,3,2.666666667,2,4,4,4, ,1,16,1,163
337,SE,OzD,2,4, ,3,2,1,2,1.666666667,2,2,4,5, ,1,15,0,
340,SE,OzD,3,3,5,3.666666667,2,3,1,2,4,2,4,4,2,2,15,0,
345,SE,Detlefsengymnasium,4,4,4,4,2,4,2,2.666666667,4,4,5,5,2,1,17,1,130
348,SE,Detlefsengymnasium,3,4,4,3.666666667,3,4,3,3.333333333,5,4,5,5,2,1,17,0,
349,SE,Detlefsengymnasium,3,2,3,2.666666667,1,2,3,2,3,2,4,3, ,1,17,0,
352,SE,Detlefsengymnasium,4,3,2,3,1,2,3,2,4,4,4,4,3,1,17,0,
355,SE,Detlefsengymnasium,4,4,4,4,1,2,2,1.666666667,2,2,4,3,3,2,16,0,
356,SE,Detlefsengymnasium,3,3,3,3,2,2,2,2,4,3,3,4, ,1,16,1,176
358,SE,Detlefsengymnasium,4,4,4,4,1,4,3,2.666666667,2,3,4,4, ,1,16,0,
360,SE,Detlefsengymnasium,3,5,5,4.333333333,2,4,2,2.666666667,4,5,4,5, ,1,17,1,83
362,SE,Detlefsengymnasium,3,4,4,3.666666667,2,2,2,2,5,4,5,5,3,2,18,0,
364,SE,Detlefsengymnasium,2,4,4,3.333333333,4,4,3,3.666666667,4,4,5,5, ,1,17,1,140
365,SE,Detlefsengymnasium,2,2,3,2.333333333,3,2,2,2.333333333,4,4,4,4,3,1,17,0,
374,SE,Detlefsengymnasium,4,4,4,4,2,3,2,2.333333333,5,5,4,5,3,1,17,1,93
377,SE,Detlefsengymnasium,2,3,2,2.333333333,2,2,1,1.666666667,4,3,4,4,2,1,17,1,95
379,SE,Detlefsengymnasium,3,4,3,3.333333333,2,2,2,2,4,4,4,3,3,2,17,1,117
381,SE,Detlefsengymnasium,2,3,3,2.666666667,2,2,3,2.333333333,3,3,4,4,3,1,17,1,170
384,SE,Detlefsengymnasium,3,3,2,2.666666667,1,2,2,1.666666667,4,4,4,5, ,1,17,1,249
387,SE,Detlefsengymnasium,1,3,3,2.333333333,1,2,1,1.333333333,4,3,3,2,2,1,15,1,158
389,SE,Detlefsengymnasium,1,4,3,2.666666667,1,2,2,1.666666667,4,4,4,4,2,1,17,1,128
390,SE,Detlefsengymnasium,1,4,4,3,2,4,4,3.333333333,4,4,4,4,4,1,16,1,115
392,SE,Detlefsengymnasium,4,4,3,3.666666667,3,3,2,2.666666667,3,4,5,4,3,1,17,1,164
394,SE,Detlefsengymnasium,2,5,4,3.666666667,1,4,1,2,2,5,4,2, ,2,18,1,144
410,SE,OzD,1,5,5,3.666666667,2,3,3,2.666666667,4,3,5,4,3,2,16,1,166
414,SE,OzD,2,4,4,3.333333333,2,2,3,2.333333333, ,4,5,5, ,1,16,1,205
416,SE,OzD,2,2,2,2,1,2,2,1.666666667,2,3,4,4,3,1,15,1,152
419,SE,OzD, ,4,3,3.5,2,2,3,2.333333333, ,3,3,4, ,2,16,1,213
423,SE,OzD,2, , ,2,1, ,2,1.5, ,3,4, , ,1,15,1,316
435,SE,CJB,5,4,4,4.333333333,2,5,4,3.666666667,2,4,4,4,3,2,17,1,497
436,SE,CJB,4,4,4,4,1,3,2,2,4,5,4,4,2,2,17,1,210
439,SE,CJB,2,4, ,3,2,2,3,2.333333333,3,4,3,4, ,1,16,1,345
440,SE,CJB,4,2, ,3,1,1,1,1,4,3, ,4, ,2,16,1,302
443,SE,CJB,4,4,4,4,1,4,4,3,5,5,5,5,1,1,17,1,181
445,SE,CJB,4,4,4,4,1,4,4,3,1, ,4,1,2,2,16,1,225
447,SE,CJB,4,4,3,3.666666667,1, ,2,1.5,4,3,4,5,2,2,19,1,106
463,SE,KKS,4,3,4,3.666666667,2,2,2,2,4,4,4,5,2,1,16,1,45
468,SE,KKS,4,4,4,4,1,2,2,1.666666667,3,4,4,4,2,1,17,1,201
471,SE,KKS, ,3,3,3,2,1,2,1.666666667,4,4,4,4, ,1,17,1,68
478,SE,GymB,2,3, ,2.5,1,2,2,1.666666667,4,3, ,4,2,1,17,1,181
481,SE,GymB,4,4,4,4, ,4,4,4,4,4,3,3,4,2,16,1,78
482,SE,GymB,2,2,3,2.333333333,2,3,3,2.666666667,2,4,4,3,2,1,16,1,186
484,SE,GymB,4,4,4,4,1,3,2,2,5,4,4,5,3,2,17,1,216
486,SE,GymB,5,5,4,4.666666667,2,3,1,2, ,2,5,5,3,2,17,1,68
489,SE,GymB,3,4,3,3.333333333,2,3,3,2.666666667,4,4,4,4,3,1,16,1,86
493,SE,GymB,5,3,4,4,2,2,2,2, ,2,4, ,2,1,17,1,144
497,SE,GymB,2,4,3,3,2,1,2,1.666666667, ,4,4,4, ,1,16,1,74
501,SE,GymB,4,4,4,4,2,2,2,2, ,4,5,4, ,2,17,1,89
509,SE,GymB, ,5,5,5, ,4,1,2.5,5,4,5,5,1,2,17,0,
519,SE,GymB, ,5,4,4.5,2,2,1,1.666666667,2,3,3,4,2,2,17,1,62
532,SE,GymB, ,3, ,3,1,2,1,1.333333333,3,2,4,4,2,1,16,1,83
536,SE,GymB, ,2,3,2.5,2,2,3,2.333333333,3,4,5,4,2,1,17,1,237
