Resilienzfem,Zufallsgeneratorfem
3,1
3.666666667,1
2.666666667,1
3,1
4,1
2.333333333,1
2,1
3,1
2.666666667,1
2,1
2.666666667,1
4,1
2.333333333,1
4,1
2.5,1
3,1
3.333333333,1
3.666666667,1
3,1
3.333333333,1
4,1
,1
2.666666667,1
3.666666667,1
3.333333333,1
4,1
,1
2.5,1
4,1
3,1
2.5,1
2,1
2.333333333,1
3.333333333,1
2.333333333,1
3.666666667,1
3.333333333,1
3.333333333,1
3.5,1
3,1
3.666666667,3
4,3
4,3
3,3
4.333333333,3
3.333333333,3
4,3
2.333333333,3
2.666666667,3
2.666666667,3
2.333333333,3
2.666666667,3
3,3
3.666666667,3
3.333333333,3
2,3
2,3
3,3
4,3
4,3
2.5,3
2.333333333,3
3.333333333,3
4,3
3,3
2.5,3
3,3
2.5,3
4.666666667,3
3.666666667,3
2.666666667,3
3,3
3.666666667,3
