PCode,U1DD10_01,U1DD10_02,U1DD10_03,U1DD10_04,U1DD10_05,U2DD10_01,U2DD10_02,U2DD10_03,U2DD10_04,U2DD10_05,Resilienz,Unterricht
Al0519,,2,,3,,,,,,,2,1
An0424,3,2,,1,2,,,,,,2.5,1
An0505,4,1,5,2,1,,,,,,3.333333333,1
An0709,2,4,4,1,1,,,,,,3.333333333,1
An0827,4,,,2,2,,,,,,4,1
Be0322,3,1,4,4,4,,,,,,2.666666667,1
Be0726,4,3,4,1,2,,,,,,3.666666667,1
BI0419,2,3,4,2,2,,,,,,3,1
Bi0628,3,2,3,2,3,,,,,,2.666666667,1
Ca0116,2,2,2,1,3,,,,,,2,1
Ch0714,2,3,3,1,3,,,,,,2.666666667,1
Ch0930,4,4,4,1,3,,,,,,4,1
Co0219,,4,4,2,3,,,,,,4,1
Da0615,2,3,2,1,2,,,,,,2.333333333,1
Da1419,4,4,4,1,2,,,,,,4,1
Do0221,3,2,,2,2,,,,,,2.5,1
Do0412,2,4,3,3,2,,,,,,3,1
Do0504,4,4,4,2,3,,,,,,4,1
Do0719,2,3,5,4,4,,,,,,3.333333333,1
Do0904,3,4,4,3,3,,,,,,3.666666667,1
Ev1127,4,4,4,4,5,,,,,,4,1
Fr0903,3,4,4,5,2,,,,,,3.666666667,1
Ga0912,1,2,3,1,3,,,,,,2,1
He0726,2,4,,1,2,,,,,,3,1
He0812,,3,4,2,3,,,,,,3.5,1
iv0310,1,4,4,2,3,,,,,,3,1
Ja0126,4,3,3,1,3,,,,,,3.333333333,1
Ja0309,4,4,4,2,2,,,,,,4,1
Ju0723,3,4,4,2,4,,,,,,3.666666667,1
ka0812,4,3,3,4,,,,,,,3.333333333,1
Ke0719,3,4,2,3,2,,,,,,3,1
Ke1719,,4,4,2,3,,,,,,4,1
KH1225,2,3,3,3,3,,,,,,2.666666667,1
Ki1129,4,4,4,1,3,,,,,,4,1
Ki2723,5,4,4,1,3,,,,,,4.333333333,1
Lu1210,,2,,3,2,,,,,,2,1
Ma0210,3,3,,2,,,,,,,3,1
Ma0322,2,,3,1,3,,,,,,2.5,1
Ma0512,3,4,4,3,3,,,,,,3.666666667,1
Ma0619,4,4,4,1,4,,,,,,4,1
Ma0628,4,4,4,1,1,,,,,,4,1
